/netherlands/amsterdam/|Netherlands|Amsterdam|NL|52.37403|4.88969
/germany/berlin/|Germany|Berlin|DE|52.52437|13.41053
/switzerland/bern/|Switzerland|Bern|CH|46.94809|7.44744
/belgium/brussels/|Belgium|Brussels|BE|50.85045|4.34878
/hungary/budapest/|Hungary|Budapest|HU|47.49801|19.03991
/denmark/copenhagen/|Denmark|Copenhagen|DK|55.67594|12.56553
/portugal/lisbon/|Portugal|Lisbon|PT|38.71667|-9.13333
/spain/madrid/|Spain|Madrid|ES|40.4165|-3.70256
/norway/oslo/|Norway|Oslo|NO|59.91273|10.74609
/france/paris/|France|Paris|FR|48.85341|2.3488
/czech-republic/prague/|Czech Republic|Prague|CZ|50.08804|14.42076
/italy/rome/|Italy|Rome|IT|41.89193|12.51133
/sweden/stockholm/|Sweden|Stockholm|SE|59.33258|18.0649
/austria/vienna/|Austria|Vienna|AT|48.20849|16.37208
/croatia/zagreb/|Croatia|Zagreb|HR|45.81444|15.97798
